                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9708,                 3.6674,                 4.2811,                0.00348,                0.96649,                0.01913,                0.00554,                 2.6415,                 3.4402,                   4.16,              0.0001667,              0.0001667,              0.0001667
                      2,                  2.918,                 3.5786,                 4.1746,                  0.005,                0.94876,                0.01868,                0.00661,                 2.6413,                 3.4417,                 4.1555,             0.00034512,             0.00034512,             0.00034512
                      3,                 2.9013,                 3.4827,                 4.0813,                0.00389,                0.94301,                 0.0273,                0.01112,                 2.6306,                 3.4253,                 4.1574,             0.00051835,             0.00051835,             0.00051835
                      4,                 2.8846,                 3.4186,                 3.9471,                0.00517,                 0.9507,                0.07467,                0.03023,                 2.6517,                 3.4133,                 4.1601,              0.0006864,              0.0006864,              0.0006864
                      5,                 2.9879,                 3.4167,                 3.8619,                0.00392,                0.95451,                0.08311,                0.03176,                 2.6386,                 3.1366,                 4.0476,             0.00084926,             0.00084926,             0.00084926
                      6,                 2.8763,                 3.3651,                 3.7451,                0.00511,                0.90998,                0.04268,                0.01242,                 2.8585,                 3.4589,                 4.8544,              0.0010069,              0.0010069,              0.0010069
                      7,                  2.749,                 3.2346,                 3.6244,                0.00356,                0.95021,                0.02659,                0.00666,                 2.6748,                 3.6422,                 4.3479,              0.0011594,              0.0011594,              0.0011594
                      8,                    2.7,                 3.2086,                 3.5585,                0.03975,                0.02632,                0.02747,                0.00783,                 2.6524,                 3.4706,                 4.1741,              0.0013067,              0.0013067,              0.0013067
                      9,                 2.7919,                 3.2232,                 3.4936,                0.00633,                0.84773,                0.03234,                0.00884,                 2.7325,                 3.6077,                 4.4455,              0.0014488,              0.0014488,              0.0014488
                     10,                 2.7933,                 3.1802,                 3.4202,                0.00725,                0.19528,                0.00684,                0.00227,                 2.8018,                  24.88,                 4.3165,              0.0014548,              0.0014548,              0.0014548
                     11,                 2.6999,                 3.1841,                 3.4178,                0.00257,                0.05408,                0.00217,                 0.0009,                  2.745,                    inf,                 4.6215,              0.0014548,              0.0014548,              0.0014548
                     12,                 2.6992,                 3.1606,                  3.375,                0.03131,                0.27102,                0.03025,                 0.0077,                  3.193,                  6.066,                 4.4426,              0.0014312,              0.0014312,              0.0014312
                     13,                 2.6854,                 3.0917,                 3.3152,                0.02854,                0.06031,                0.01161,                0.00283,                 3.1053,                 6.8439,                 4.3914,              0.0014077,              0.0014077,              0.0014077
                     14,                 2.7118,                 3.0997,                 3.3653,                0.03001,                0.05935,                0.00875,                0.00231,                 3.0447,                 9.0582,                 4.4272,              0.0013841,              0.0013841,              0.0013841
                     15,                 2.6412,                 3.0659,                 3.2959,                0.11567,                0.19909,                0.06576,                 0.0126,                 2.9259,                 16.163,                  4.211,              0.0013605,              0.0013605,              0.0013605
                     16,                  2.562,                 2.9632,                 3.2555,                0.09935,                0.10865,                0.04282,                0.01195,                 2.5375,                 7.5167,                 3.4814,              0.0013369,              0.0013369,              0.0013369
                     17,                 2.4911,                 2.9956,                 3.1542,                0.13785,                0.35241,                0.13287,                0.04774,                 2.4036,                 3.1564,                 3.2738,              0.0013134,              0.0013134,              0.0013134
                     18,                 2.4548,                 2.9204,                 3.1115,                0.16234,                0.40516,                 0.1557,                0.05008,                 2.3916,                 3.2331,                 3.1684,              0.0012898,              0.0012898,              0.0012898
                     19,                 2.4366,                 2.9076,                 3.1014,                 0.3724,                0.31059,                0.31618,                0.13371,                 2.2661,                 2.6149,                 3.1515,              0.0012662,              0.0012662,              0.0012662
                     20,                 2.3861,                 2.9022,                 3.0343,                0.38658,                0.08448,                0.17331,                0.07192,                 2.3367,                 2.9907,                 3.3184,              0.0012426,              0.0012426,              0.0012426
                     21,                 2.2958,                 2.7546,                 2.9794,                0.25862,                0.33122,                0.21062,                 0.1002,                 2.2431,                 2.9321,                 3.1592,              0.0012191,              0.0012191,              0.0012191
                     22,                 2.3071,                  2.831,                 2.9763,                0.32241,                0.38966,                0.28718,                0.12465,                 2.2934,                  3.371,                  3.121,              0.0011955,              0.0011955,              0.0011955
                     23,                 2.3028,                  2.773,                 2.9544,                0.29296,                0.43321,                0.31925,                0.10285,                 2.2762,                 3.0424,                 3.0539,              0.0011719,              0.0011719,              0.0011719
                     24,                 2.2747,                 2.6943,                 2.8895,                0.33153,                0.40448,                0.32853,                0.13097,                 2.0695,                 3.0576,                 2.8989,              0.0011483,              0.0011483,              0.0011483
                     25,                 2.1281,                   2.58,                 2.8241,                0.31249,                0.41785,                0.31485,                0.13192,                 1.9959,                 2.6434,                 2.8801,              0.0011247,              0.0011247,              0.0011247
